,Year,Season,Site,Depth,Transect..,Meter.Mark,Coral,Algae,Algae.Functional.Group,CoralAlgae,Maximum.colony.diameter,Length.of.edge.in.contact,Outcome,Proportion of colony in contact
73,2015,Spring,Harry's Bommie 5m,5,1,1.4,Platygyra,filamentous,filamentous,Plafila,0.28,0.12,0,0.428571429
74,2015,Spring,Harry's Bommie 5m,5,1,4.5,Acropora,filamentous,filamentous,Acrfila,1,0.03,0,0.03
75,2015,Spring,Harry's Bommie 5m,5,1,4.5,Acropora,filamentous,filamentous,Acrfila,1,0.03,0,0.03
76,2015,Spring,Harry's Bommie 5m,5,1,4.5,Acropora,filamentous,filamentous,Acrfila,1,0.03,0,0.03
77,2015,Spring,Harry's Bommie 5m,5,1,4.5,Acropora,filamentous,filamentous,Acrfila,1,0.03,0,0.03
78,2015,Spring,Harry's Bommie 5m,5,1,4.5,Acropora,filamentous,filamentous,Acrfila,1,0.03,0,0.03
79,2015,Spring,Harry's Bommie 5m,5,1,4.5,Acropora,filamentous,filamentous,Acrfila,1,0.03,0,0.03
80,2015,Spring,Harry's Bommie 5m,5,1,4.5,Acropora,filamentous,filamentous,Acrfila,1,0.03,0,0.03
81,2015,Spring,Harry's Bommie 5m,5,1,4.5,Acropora,filamentous,filamentous,Acrfila,1,0.03,0,0.03
82,2015,Spring,Harry's Bommie 5m,5,1,4.5,Acropora,filamentous,filamentous,Acrfila,1,0.03,0,0.03
83,2015,Spring,Harry's Bommie 5m,5,1,4.5,Acropora,filamentous,filamentous,Acrfila,1,0.03,0,0.03
84,2015,Spring,Harry's Bommie 5m,5,1,4.5,Acropora,filamentous,filamentous,Acrfila,1,0.03,0,0.03
85,2015,Spring,Harry's Bommie 5m,5,1,4.5,Acropora,filamentous,filamentous,Acrfila,1,0.03,0,0.03
86,2015,Spring,Harry's Bommie 5m,5,1,4.5,Acropora,filamentous,filamentous,Acrfila,1,0.03,0,0.03
87,2015,Spring,Harry's Bommie 5m,5,1,4.5,Acropora,filamentous,filamentous,Acrfila,1,0.03,0,0.03
88,2015,Spring,Harry's Bommie 5m,5,1,4.5,Acropora,filamentous,filamentous,Acrfila,1,0.03,0,0.03
89,2015,Spring,Harry's Bommie 5m,5,1,4.5,Acropora,filamentous,filamentous,Acrfila,1,0.03,0,0.03
90,2015,Spring,Harry's Bommie 5m,5,1,4.5,Acropora,filamentous,filamentous,Acrfila,1,0.03,0,0.03
91,2015,Spring,Harry's Bommie 5m,5,1,4.5,Acropora,filamentous,filamentous,Acrfila,1,0.03,0,0.03
92,2015,Spring,Harry's Bommie 5m,5,1,4.5,Acropora,filamentous,filamentous,Acrfila,1,0.03,0,0.03
